Title (News Shots) ,ID,Date
Novocure and ZaiLab's Optune Receive NMPA's Approval for the Treatment of Newly Diagnosed and Recurrent Glioblastoma,33034,14-05-2020
Roche to Present Results of Tiragolumab in P-II CITYSCAPE Study for Non-Small Cell Lung Cancer at ASCO20,33046,14-05-2020
Innovent and Eli Lilly Report Results of TYVYT (sintilimab) in P-II ORIENT-2 Study as 2L Treatment for Advanced or Metastatic Esophageal Squamous Cell Carcinoma,33049,14-05-2020
Boehringer Ingelheim Acquires Northern Biologics' Preclinical Cancer Antibody Pipeline to Bolster its Immuno-oncology Portfolio,33069,15-05-2020
Seattle's TUKYSA (tucatinib) Receives the US FDA's Approval for Advanced Unresectable or Metastatic HER2-Positive Breast Cancer,33076,17-04-2020
Immunomedics' Trodelvy Receives the US FDA's Accelerated Approval for 2L Patients with Metastatic Triple-Negative Breast Cancer (TNBC),33079,22-04-2020
UroGen's Jelmyto Receives the US FDA's Expedited Approval as a Novel Non-Surgical Treatment for Patients with Low-Grade Upper Tract Urothelial Cancer,33089,15-04-2020
"Incyte's Pemazyre (pemigatinib) Receives the US FDA's Approval as the Novel Treatment for Adults with Previously Treated, Unresectable LA or Metastatic Cholangiocarcinoma",33106,17-04-2020
Sanofi's COVID-19 Vaccine to be Available Globally,33120,15-05-2020
Roche Launches v-TAC Blood Gas Digital Solution for Improving Patient Care,33150,15-05-2020
Recursion Signs a Worldwide License Agreement with Takeda to Develop TAK-733 for Hereditary Cancer Syndrome,33169,15-05-2020
"Samsung Bioepis Reports Results of Ontruzant (biosimilar, trastuzumab) in P-III Follow-up Study (SB3-G31-BC-E) for Early or Locally Advanced HER2-Positive Breast Cancer",33183,15-05-2020
Janssen to Present Updated Results of JNJ-4528 in P-Ib/II CARTITUDE-1 Study for Multiple Myeloma at ASCO 2020,33189,15-05-2020
Daiichi Sankyo and AstraZeneca's Enhertu (fam-trastuzumab deruxtecan-nxki) Receive the US FDA's Breakthrough Therapy Designation for HER2 Mutant Metastatic Non-Small Cell Lung Cancer,33207,18-05-2020
AstraZeneca's Bevespi Aerosphere (glycopyrronium/formoterol fumarate) Receives NMPA's Approval for Patients with COPD,33229,18-05-2020
EMA to Grant Initial Authorization to Gilead's Remdesivir for COVID-19 is Imminent,33239,18-05-2020
Moderna Reports Positive Interim P-I Data of mRNA-1273 Against COVID-19,33255,18-05-2020
Roche's Tecentriq Receives the US FDA's Approval as 1L Monotherapy for Patients with Metastatic Non-Small Cell Lung Cancer,33272,19-05-2020
Teva's Austedo (deutetrabenazine) Receives the NMPA's Approval to Treat Chorea Associated with Huntington's Disease and Tardive Dyskinesia in Adults,33296,19-05-2020
Samsung Bioepis Reports Results of SB11 (proposed biosimilar ranibizumab) in P-III Study for Neovascular Age-Related Macular Degeneration,33308,19-05-2020
Roche Signs an Exclusive Worldwide Option and License Agreement with Vividion Focusing on Novel E3 Ligases,33317,19-05-2020
Innovent Biologics and MD Anderson Collaborate to Co-develop TYVYT (sintilimab) in Rare Cancer Indications in the US,33328,19-05-2020
AveXis Receives EC's Conditional Approval and Activates â€œDay Oneâ€ Access Program for Zolgensma (onasemnogene abeparvovec) to Treat Spinal Muscular Atrophy,33351,20-05-2020
Biocon Receives EMA's GMP Certification for Multiple Biosimilars Manufacturing Facilities in Bengaluru,33359,20-05-2020
Roche Launches Elecsys Anti-SARS-CoV-2 Antibody Blood Test in the US,33376,20-05-2020
Eiger BioPharmaceuticals Reports the US FDA's Acceptance of NDA for Zokinvy (lonafarnib) to Treat Progeria and Progeroid Laminopathies,33391,20-05-2020
Aldeyra Therapeutics to Advance ADX-1612 to Clinical Testing and Provides Update on ADX-629 for COVID-19,33396,20-05-2020
Astellas and FibroGen Report EMA's Acceptance of MAA for Roxadustat to Treat Patients with Chronic Kidney Disease,33414,21-05-2020
Apple and Google Launch COVID-19 Exposure Notification System to Support Health Agencies,33425,21-05-2020
AstraZeneca Receives First Supply Agreement for University of Oxford's ChAdOx1 nCoV-19 Vaccine Against COVID-19,33438,21-05-2020
Synlogic Terminates its Agreement with AbbVie for Synthetic Biotic Medicines to Treat Inflammatory Bowel Disease,33470,21-05-2020
Gilead and Galapagos Report Results of Filgotinib in P-IIb/III SELECTION Study for Moderately to Severely Active Ulcerative Colitis,33483,21-05-2020
Roche Acquires Stratos Genomics to Advance the Development of Nanopore Sequencer,33494,22-05-2020
GSK Collaborates with Samsung Biologics for Large Scale Biopharmaceutical Manufacturing,33515,22-05-2020
Daiichi Sankyo and AstraZeneca's Enhertu (fam-trastuzumab deruxtecan-nxki) Receive the US FDA's Orphan Drug Designation for Gastric Cancer,33533,22-05-2020
Bayer Reports Submission of MAA to the MHLW for Larotrectinib to Treat Solid Tumors with TRK Fusion,33552,22-05-2020
Gilead Plans to Submit MAA to CDSCO for its Remdesivir to Treat COVID-19 in India,33615,22-05-2020
"BMS Reports EMA's Validation of MAA for Idecabtagene Vicleucel (Ide-cel, bb2121) and CC-486",33630,22-05-2020
"Fresenius Kabi Reports EMA's Acceptance of MAA for its MSB11455 (biosimilar, pegfilgrastim)",33657,25-05-2020
AbCellera Signs an Exclusive Multi-Year Agreement with Eli Lilly to Develop Abs for up to Nine Targets,33664,25-05-2020
BARDA to Fund $1B to AstraZeneca for Research and Development of Novel COVID-19 Vaccines,33670,25-05-2020
"Evofem Biosciences' Phexxi (lactic acid, citric acid, and potassium bitartrate) Vaginal Gel Receives the US FDA's Approval for the Prevention of Pregnancy",33682,25-05-2020
Sanofi and Regeneron Report Positive Results of Dupixent (dupilumab) in P-IIIa Dupixent Eosinophilic Esophagitis Study for EoE,33693,25-05-2020
Novavax Initiates P-I/II Study of NVXâ€‘CoV2373 Vaccine Against COVID-19,33708,26-05-2020
AstraZeneca Signs an Agreement with ArcherDX for Utilizing Personalized Cancer Assays to Detect MRD in Patients with Early-Stage Non-Small Cell Lung Cancer,33726,26-05-2020
