id,old_id,created_at
1,578,05-09-2018 00:00
2,579,05-09-2018 00:00
3,580,05-09-2018 00:00
4,581,04-09-2018 00:00
5,582,04-09-2018 00:00
6,583,04-09-2018 00:00
7,584,04-09-2018 00:00
8,585,03-09-2018 00:00
9,586,03-09-2018 00:00
10,588,03-09-2018 00:00
11,589,31-08-2018 00:00
12,590,31-08-2018 00:00
13,591,31-08-2018 00:00
14,592,31-08-2018 00:00
15,593,30-08-2018 00:00
16,594,30-08-2018 00:00
17,595,30-08-2018 00:00
18,596,30-08-2018 00:00
19,597,29-08-2018 00:00
20,598,29-08-2018 00:00
21,599,29-08-2018 00:00
22,600,29-08-2018 00:00
23,601,28-08-2018 00:00
24,602,28-08-2018 00:00
25,603,28-08-2018 00:00
26,604,28-08-2018 00:00
27,605,27-08-2018 00:00
28,606,27-08-2018 00:00
29,607,27-08-2018 00:00
30,609,25-08-2018 00:00
31,610,24-08-2018 00:00
32,611,24-08-2018 00:00
33,612,24-08-2018 00:00
34,613,23-08-2018 00:00
35,614,23-08-2018 00:00
36,615,23-08-2018 00:00
37,616,23-08-2018 00:00
38,617,22-08-2018 00:00
39,618,22-08-2018 00:00
40,619,22-08-2018 00:00
41,620,22-08-2018 00:00
42,621,21-08-2018 00:00
43,622,21-08-2018 00:00
44,623,21-08-2018 00:00
45,624,21-08-2018 00:00
46,625,21-08-2018 00:00
47,626,20-08-2018 00:00
48,627,20-08-2018 00:00
49,628,17-08-2018 00:00
50,629,17-08-2018 00:00
51,630,17-08-2018 00:00
52,631,17-08-2018 00:00
53,632,16-08-2018 00:00
54,633,16-08-2018 00:00
55,634,16-08-2018 00:00
56,635,14-08-2018 00:00
57,636,14-08-2018 00:00
58,637,14-08-2018 00:00
59,638,13-08-2018 00:00
60,639,13-08-2018 00:00
61,640,13-08-2018 00:00
62,641,13-08-2018 00:00
63,642,10-08-2018 00:00
64,643,10-08-2018 00:00
65,644,09-08-2018 00:00
66,645,09-08-2018 00:00
67,646,08-08-2018 00:00
68,647,08-08-2018 00:00
69,648,08-08-2018 00:00
70,649,07-08-2018 00:00
71,650,07-08-2018 00:00
72,651,07-08-2018 00:00
73,652,06-08-2018 00:00
74,653,06-08-2018 00:00
75,654,03-08-2018 00:00
76,655,03-08-2018 00:00
77,656,03-08-2018 00:00
78,657,03-08-2018 00:00
79,658,02-08-2018 00:00
80,659,02-08-2018 00:00
81,660,02-08-2018 00:00
82,661,01-08-2018 00:00
83,662,01-08-2018 00:00
84,663,31-07-2018 00:00
85,664,31-07-2018 00:00
86,665,30-07-2018 00:00
87,666,30-07-2018 00:00
88,667,30-07-2018 00:00
89,668,30-07-2018 00:00
90,669,30-07-2018 00:00
91,670,30-07-2018 00:00
92,671,28-07-2018 00:00
93,672,27-07-2018 00:00
94,673,27-07-2018 00:00
95,674,26-07-2018 00:00
96,675,26-07-2018 00:00
97,676,25-07-2018 00:00
98,713,05-09-2018 00:00
99,727,06-09-2018 00:00
100,739,06-09-2018 00:00
101,790,06-09-2018 00:00
102,807,06-09-2018 00:00
103,823,07-09-2018 00:00
104,826,07-09-2018 00:00
105,830,07-09-2018 00:00
106,833,07-09-2018 00:00
107,1196,10-09-2018 00:00
108,1199,10-09-2018 00:00
109,1205,10-09-2018 00:00
110,1283,11-09-2018 00:00
111,1286,11-09-2018 00:00
112,1317,11-09-2018 00:00
113,1329,11-09-2018 00:00
114,1355,12-09-2018 00:00
115,1358,12-09-2018 00:00
116,1364,12-09-2018 00:00
117,1369,12-09-2018 00:00
118,1372,13-09-2018 00:00
119,1378,13-09-2018 00:00
120,1381,13-09-2018 00:00
121,1390,13-09-2018 00:00
122,1426,14-09-2018 00:00
123,1446,14-09-2018 00:00
124,1614,17-09-2018 00:00
125,1631,17-09-2018 00:00
126,1638,17-09-2018 00:00
127,1644,18-09-2018 00:00
128,1659,18-09-2018 00:00
129,1682,18-09-2018 00:00
130,1693,18-09-2018 00:00
131,1708,19-09-2018 00:00
132,1723,19-09-2018 00:00
133,1760,19-09-2018 00:00
134,1783,19-09-2018 00:00
135,1813,20-09-2018 00:00
136,1827,20-09-2018 00:00
137,1872,20-09-2018 00:00
138,1930,21-09-2018 00:00
139,1934,21-09-2018 00:00
140,1950,21-09-2018 00:00
141,2082,24-09-2018 00:00
142,2100,24-09-2018 00:00
143,2107,24-09-2018 00:00
144,2143,24-09-2018 00:00
145,2150,25-09-2018 00:00
146,2157,25-09-2018 00:00
147,2175,25-09-2018 00:00
148,2182,25-09-2018 00:00
149,2220,26-09-2018 00:00
150,2228,26-09-2018 00:00
151,2233,26-09-2018 00:00
152,2241,27-09-2018 00:00
153,2249,27-09-2018 00:00
154,2258,27-09-2018 00:00
155,2265,28-09-2018 00:00
156,2270,28-09-2018 00:00
157,2289,28-09-2018 00:00
158,2297,28-09-2018 00:00
159,2300,28-09-2018 00:00
160,2317,01-10-2018 00:00
161,2327,01-10-2018 00:00
162,2348,01-10-2018 00:00
163,2363,03-10-2018 00:00
164,2367,03-10-2018 00:00
165,2368,03-10-2018 00:00
166,2369,03-10-2018 00:00
167,2381,03-10-2018 00:00
168,2398,03-10-2018 00:00
169,2411,04-10-2018 00:00
170,2421,04-10-2018 00:00
171,2432,04-10-2018 00:00
172,2465,05-10-2018 00:00
173,2476,05-10-2018 00:00
174,2515,08-10-2018 00:00
175,2523,08-10-2018 00:00
176,2536,08-10-2018 00:00
177,2546,09-10-2018 00:00
178,2551,09-10-2018 00:00
179,2560,09-10-2018 00:00
180,2578,09-10-2018 00:00
181,2586,10-10-2018 00:00
182,2593,10-10-2018 00:00
183,2601,10-10-2018 00:00
184,2620,10-10-2018 00:00
185,2627,11-10-2018 00:00
186,2635,11-10-2018 00:00
187,2653,12-10-2018 00:00
188,2663,12-10-2018 00:00
189,2667,12-10-2018 00:00
190,2678,15-10-2018 00:00
191,2682,15-10-2018 00:00
192,2692,15-10-2018 00:00
193,2699,16-10-2018 00:00
194,2703,16-10-2018 00:00
195,2707,16-10-2018 00:00
196,2711,16-10-2018 00:00
197,2715,16-10-2018 00:00
198,2719,16-10-2018 00:00
199,2724,17-10-2018 00:00
200,2728,17-10-2018 00:00
201,2734,17-10-2018 00:00
202,2748,18-10-2018 00:00
203,2752,18-10-2018 00:00
204,2756,18-10-2018 00:00
205,2760,18-10-2018 00:00
206,2764,18-10-2018 00:00
207,2768,20-10-2018 00:00
208,2795,22-10-2018 00:00
209,2800,22-10-2018 00:00
210,2808,22-10-2018 00:00
211,2816,23-10-2018 00:00
212,2821,23-10-2018 00:00
213,2825,23-10-2018 00:00
214,2829,23-10-2018 00:00
215,2833,23-10-2018 00:00
216,2839,24-10-2018 00:00
217,2844,24-10-2018 00:00
218,2850,24-10-2018 00:00
219,2862,25-10-2018 00:00
220,2866,25-10-2018 00:00
221,2870,25-10-2018 00:00
222,2874,25-10-2018 00:00
223,2882,26-10-2018 00:00
224,2898,26-10-2018 00:00
225,2909,29-10-2018 00:00
226,2923,29-10-2018 00:00
227,2932,30-10-2018 00:00
228,2943,30-10-2018 00:00
229,2949,30-10-2018 00:00
230,2953,30-10-2018 00:00
231,2964,30-10-2018 00:00
232,2971,31-10-2018 00:00
233,2975,31-10-2018 00:00
234,2979,31-10-2018 00:00
235,2987,31-10-2018 00:00
236,3046,05-11-2018 00:00
237,3051,05-11-2018 00:00
238,3061,05-11-2018 00:00
239,3069,06-11-2018 00:00
240,3083,06-11-2018 00:00
241,3091,12-11-2018 00:00
242,3098,12-11-2018 00:00
243,3107,12-11-2018 00:00
244,3116,13-11-2018 00:00
245,3123,15-11-2018 00:00
246,3137,14-11-2018 00:00
247,3142,14-11-2018 00:00
248,3146,14-11-2018 00:00
249,3150,15-11-2018 00:00
250,3160,15-11-2018 00:00
251,3165,15-11-2018 00:00
252,3173,16-11-2018 00:00
253,3182,16-11-2018 00:00
254,3219,19-11-2018 00:00
255,3227,19-11-2018 00:00
256,3235,19-11-2018 00:00
257,3246,19-11-2018 00:00
258,3264,20-11-2018 00:00
259,3272,20-11-2018 00:00
260,3277,20-11-2018 00:00
261,3288,20-11-2018 00:00
262,3301,21-11-2018 00:00
263,3308,21-11-2018 00:00
264,3321,21-11-2018 00:00
265,3327,21-11-2018 00:00
266,3334,22-11-2018 00:00
267,3339,22-11-2018 00:00
268,3344,22-11-2018 00:00
269,3351,22-11-2018 00:00
270,3368,26-11-2018 00:00
271,3383,26-11-2018 00:00
272,3466,26-11-2018 00:00
273,3473,27-11-2018 00:00
274,3484,27-11-2018 00:00
275,3489,27-11-2018 00:00
276,3494,27-11-2018 00:00
277,3501,28-11-2018 00:00
278,3506,28-11-2018 00:00
279,3510,28-11-2018 00:00
280,3519,28-11-2018 00:00
281,3529,29-11-2018 00:00
282,3533,29-11-2018 00:00
283,3537,29-11-2018 00:00
284,3542,29-11-2018 00:00
285,3550,30-11-2018 00:00
286,3554,30-11-2018 00:00
287,3560,30-11-2018 00:00
288,3586,03-12-2018 00:00
289,3617,03-12-2018 00:00
290,3625,03-12-2018 00:00
291,3629,03-12-2018 00:00
292,3646,04-12-2018 00:00
293,3685,04-12-2018 00:00
294,3698,04-12-2018 00:00
295,3705,06-12-2018 00:00
296,3710,05-12-2018 00:00
297,3718,06-12-2018 00:00
298,3729,06-12-2018 00:00
299,3742,07-12-2018 00:00
